Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch: 383 | Train loss: 3.92296 | Test loss: 3.95978
Epoch: 384 | Train loss: 3.92054 | Test loss: 3.90776
Epoch: 385 | Train loss: 3.92024 | Test loss: 3.90888
Epoch: 386 | Train loss: 3.91863 | Test loss: 3.92779
Epoch: 387 | Train loss: 3.91811 | Test loss: 3.90420
Epoch: 388 | Train loss: 3.91625 | Test loss: 3.92451
Epoch: 389 | Train loss: 3.91670 | Test loss: 3.91057
Epoch: 390 | Train loss: 3.91411 | Test loss: 3.89824
Epoch: 391 | Train loss: 3.91353 | Test loss: 3.90676
Epoch: 392 | Train loss: 3.91422 | Test loss: 3.91959
Epoch: 393 | Train loss: 3.91305 | Test loss: 3.91409
Epoch: 394 | Train loss: 3.91262 | Test loss: 3.91608
Epoch: 395 | Train loss: 3.91216 | Test loss: 3.90882
Epoch: 396 | Train loss: 3.91113 | Test loss: 3.90998
Epoch: 397 | Train loss: 3.91119 | Test loss: 3.90961
Epoch: 398 | Train loss: 3.91280 | Test loss: 3.91067
Epoch: 399 | Train loss: 3.91110 | Test loss: 3.90946
tensor(3.9096)
