Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch 181 | SR Loss: 4.97513 | Domain Loss: 0.57612 | Test Loss: 5.26787
Epoch 182 | SR Loss: 4.94828 | Domain Loss: 0.57814 | Test Loss: 4.82067
Epoch 183 | SR Loss: 5.00777 | Domain Loss: 0.57670 | Test Loss: 5.94337
Epoch 184 | SR Loss: 5.01047 | Domain Loss: 0.57739 | Test Loss: 4.81301
Epoch 185 | SR Loss: 5.07750 | Domain Loss: 0.57464 | Test Loss: 4.73968
Epoch 186 | SR Loss: 5.02874 | Domain Loss: 0.57575 | Test Loss: 4.35046
Epoch 187 | SR Loss: 4.93216 | Domain Loss: 0.57336 | Test Loss: 4.81884
Epoch 188 | SR Loss: 4.87304 | Domain Loss: 0.57619 | Test Loss: 4.43482
Epoch 189 | SR Loss: 4.90528 | Domain Loss: 0.57389 | Test Loss: 4.34429
Epoch 190 | SR Loss: 4.93768 | Domain Loss: 0.57394 | Test Loss: 4.40600
Epoch 191 | SR Loss: 4.91137 | Domain Loss: 0.57521 | Test Loss: 4.71085
Epoch 192 | SR Loss: 4.96192 | Domain Loss: 0.57213 | Test Loss: 6.32965
Epoch 193 | SR Loss: 4.78014 | Domain Loss: 0.57295 | Test Loss: 4.24012
Epoch 194 | SR Loss: 4.84956 | Domain Loss: 0.56908 | Test Loss: 4.25392
Epoch 195 | SR Loss: 4.92536 | Domain Loss: 0.57107 | Test Loss: 4.39415
Epoch 196 | SR Loss: 4.81586 | Domain Loss: 0.56967 | Test Loss: 4.56647
Epoch 197 | SR Loss: 4.90342 | Domain Loss: 0.57228 | Test Loss: 4.54720
Epoch 198 | SR Loss: 4.83370 | Domain Loss: 0.57374 | Test Loss: 5.19220
Epoch 199 | SR Loss: 4.82196 | Domain Loss: 0.56881 | Test Loss: 5.49038
Epoch 200 | SR Loss: 4.87291 | Domain Loss: 0.56635 | Test Loss: 5.65273
Epoch 201 | SR Loss: 4.88674 | Domain Loss: 0.57408 | Test Loss: 4.13806
Epoch 202 | SR Loss: 4.84810 | Domain Loss: 0.57057 | Test Loss: 4.76994
Epoch 203 | SR Loss: 4.83095 | Domain Loss: 0.56906 | Test Loss: 5.35762
Epoch 204 | SR Loss: 4.81084 | Domain Loss: 0.56932 | Test Loss: 4.27979
Epoch 205 | SR Loss: 4.85144 | Domain Loss: 0.56339 | Test Loss: 4.31772
Epoch 206 | SR Loss: 4.78428 | Domain Loss: 0.56801 | Test Loss: 4.61744
Epoch 207 | SR Loss: 4.77353 | Domain Loss: 0.56445 | Test Loss: 4.57568
Epoch 208 | SR Loss: 4.81190 | Domain Loss: 0.56577 | Test Loss: 4.25330
Epoch 209 | SR Loss: 4.84567 | Domain Loss: 0.56208 | Test Loss: 5.49315
Epoch 210 | SR Loss: 4.73831 | Domain Loss: 0.56061 | Test Loss: 4.64297
Epoch 211 | SR Loss: 4.78808 | Domain Loss: 0.55859 | Test Loss: 4.21467
Epoch 212 | SR Loss: 4.65504 | Domain Loss: 0.56343 | Test Loss: 4.34365
Epoch 213 | SR Loss: 4.77411 | Domain Loss: 0.56497 | Test Loss: 6.48262
Epoch 214 | SR Loss: 4.76018 | Domain Loss: 0.56696 | Test Loss: 6.18696
Epoch 215 | SR Loss: 4.86012 | Domain Loss: 0.56290 | Test Loss: 4.26483
Epoch 216 | SR Loss: 4.70374 | Domain Loss: 0.55817 | Test Loss: 4.19310
Epoch 217 | SR Loss: 4.71132 | Domain Loss: 0.56276 | Test Loss: 4.88772
Epoch 218 | SR Loss: 4.62609 | Domain Loss: 0.56071 | Test Loss: 4.16049
Epoch 219 | SR Loss: 4.73920 | Domain Loss: 0.55818 | Test Loss: 4.68392
Epoch 220 | SR Loss: 4.62474 | Domain Loss: 0.55757 | Test Loss: 4.12854
Epoch 221 | SR Loss: 4.73639 | Domain Loss: 0.56104 | Test Loss: 4.52017
Epoch 222 | SR Loss: 4.61173 | Domain Loss: 0.55793 | Test Loss: 4.45974
Epoch 223 | SR Loss: 4.63823 | Domain Loss: 0.55530 | Test Loss: 4.55145
Epoch 224 | SR Loss: 4.70769 | Domain Loss: 0.55429 | Test Loss: 5.88008
Epoch 225 | SR Loss: 4.66102 | Domain Loss: 0.55754 | Test Loss: 4.68739
Epoch 226 | SR Loss: 4.61009 | Domain Loss: 0.55687 | Test Loss: 4.34453
Epoch 227 | SR Loss: 4.65141 | Domain Loss: 0.55827 | Test Loss: 4.91750
Epoch 228 | SR Loss: 4.64223 | Domain Loss: 0.55499 | Test Loss: 4.28096
Epoch 229 | SR Loss: 4.67200 | Domain Loss: 0.55143 | Test Loss: 4.37660
Epoch 230 | SR Loss: 4.61282 | Domain Loss: 0.55397 | Test Loss: 4.22095
Epoch 231 | SR Loss: 4.56713 | Domain Loss: 0.55271 | Test Loss: 5.30145
Epoch 232 | SR Loss: 4.72310 | Domain Loss: 0.54824 | Test Loss: 4.16410
Epoch 233 | SR Loss: 4.56611 | Domain Loss: 0.55075 | Test Loss: 4.29831
